멀다,to be far,,,,,230
아들,son,,,,[sound:son.mp3],231
시,"poem;<div>time, hour;</div><div>o'clock</div>",,,"詩,&nbsp;時",,232
수업,"class, instruction",,,受業·授業,[sound:class.mp3],233
나오다,to come out,,,,[sound:tocomeout.mp3],234
우리,we (<i>informal</i>),,,,[sound:we.mp3],235
빵,bread,,,,[sound:bread.mp3],236
화장실,"toilet, bathroom",,,化粧室,[sound:toilet.mp3],237
수영하다,to swim,,,水泳,[sound:toswim.mp3],238
무슨,which/what (+ noun),,,,[sound:which.mp3],239
오렌지,orange,,,,[sound:orange.mp3],240
죽다,to die,,,,,241
병원,hospital,,,病院,[sound:hospital.mp3],242
정말,"really, seriously",,,正-,[sound:really.mp3],243
선물,"present, gift",,,膳物,[sound:present (1).mp3],244
되다,"to become, get, turn into",,,,[sound:tobecome.mp3],245
새,new;<div>bird</div>,,,,,246
약속,appointment;<div>promise</div>,,,約束,[sound:appointment.mp3],247
웃다,"to laugh, smile",,,,[sound:tolaugh.mp3],248
매일,every day,,,每日,[sound:everyday.mp3],249
클래스,class,,,,,250
하지만,"but, though",,,,,251
못하다,to be unable to do,,,,[sound:tobeunable.mp3],252
안,"inside, within;<br />not;<div>proposal</div>",,,案,[sound:insidenot.mp3],253
토마토,tomato,,,,,254
닫다,to close,,,,[sound:toclose.mp3],255
요즘,these days,,,,[sound:thesedays.mp3],256
지하철,subway,,,地下鐵,[sound:subway.mp3],257
캐나다,Canada,,,,,259
잔,"cup, glass",,,盞,,260
점원,salesperson,,,店員,,261
많다,"to be many, to be plenty",,,,[sound:tobemany.mp3],262
주일,week,,,週日,,263
마음,"mind, heart, nature",,,,,264
월,month,,,月,[sound:month.mp3],265
중요하다,to be important,,,重要,[sound:tobeimportant.mp3],266
저쪽,"that side, over there",,,,,267
고기,meat,,,,,268
꽃,flower,,,,[sound:flower.mp3],269
반갑다,"to be glad, happy, pleased",,,,,270
그런데,"by the way, but then",,,,[sound:butand.mp3],271
거리,"distance;<div>street, road</div>",,,距離,,272
버리다,"to abandon, to throw away",,,,[sound:tothrowaway.mp3],273
분,minute;<div>person (hon.)</div>,,,分,[sound:minute.mp3],274
시장,market;<div>mayor</div>,,,"市場,&nbsp;市長",[sound:marketplace.mp3],275
오월,May,,,五月,,276
가깝다,to be close,,,,[sound:tobeclose.mp3],277
얼마나,how + adjective/adverb,,,,[sound:how_adjective.mp3],278
식당,"restaurant, cafeteria, diner",,,食堂,,279
호주,Australia,,,濠洲,,280
덥다,to be hot (regarding the weather),,,,[sound:tobehot.mp3],281
몇,how many,,,,,282
취미,hobby,,,趣味,[sound:hobby.mp3],283
옷장,"wardrobe, closet",,,,[sound:closet.mp3],284
내리다,"to come down, put down;<div>to get out of;</div><div>to take off</div>",,,,[sound:tocomedown.mp3],285
시계,"clock, watch",,,時計,,286
보통,"usually, normally",,,普通,[sound:normally.mp3],287
햄버거,hamburger,,,,,288
열다,to open,,,,[sound:toopen.mp3],289
옆,"beside, next to",,,,[sound:beside.mp3],290
의사,"doctor, physician;<div>intention, idea</div>",,,"醫師,&nbsp;意思",[sound:doctor.mp3],291
말다,to not do,,,,[sound:tonotdo.mp3],292
